text,sentiment,type
真的超讚der！這款APP,0.71,positive
嗯哼,0.24,sarcastic
好棒棒哦,0.24,sarcastic
我覺得很ok呢,0.14,sarcastic
這個直播還可以啦,0.45,neutral
這個課程將就了,0.54,neutral
真是太有水準了,0.26,sarcastic
有夠糟糕！這個商品,0.12,negative
是是是你說得對,0.2,sarcastic
我也是這樣覺得呢,0.36,sarcastic
厲害了我的哥,0.23,sarcastic
我覺得很ok呢,0.39,sarcastic
這個外送有優點也有缺點,0.61,neutral
這個課程我直接吹爆,0.74,positive
完全沒話說！這個功能,0.76,positive
這個功能真是太棒了呢,0.3,sarcastic
這個平台好用到哭,0.72,positive
超級無敵讚！這個主播,0.89,positive
高手高手！這個商品,0.32,sarcastic
哇塞厲害了,0.36,sarcastic
這支影片一般般,0.55,neutral
這個服務完全不推好吧,0.17,negative
這個系統太香了,0.87,positive
一般般！這個功能,0.3,neutral
真是特別呢,0.31,sarcastic
完全沒話說！這個配送,0.97,positive
讚到爆炸！這個外送,0.93,positive
是是是你說得對,0.15,sarcastic
也就這樣！這個配送,0.57,neutral
這個平台超大雷,0.15,negative
這款APP這什麼爛東西,0.3,negative
一般般！這個版本,0.67,neutral
這個社群超級雷,0.04,negative
不推不推！這個配送,0.21,negative
太強了吧！這家餐廳,0.75,positive
可不就是這樣,0.29,sarcastic
超級雷！這個商品,0.17,negative
超級雷包！這支影片,0.04,negative
不推不推！這個老師,0.08,negative
超大雷！這個直播,0.21,negative
這個介面完全看不出有什麼缺點,0.74,positive
這個服務品質穩穩的,1.0,positive
爛透了！這款APP,0.05,negative
這個社群好啦隨便你,0.15,sarcastic
這個系統不推不推,0.21,negative
真的超讚der！這個社群,0.92,positive
根本是詐騙！這個配送,0.24,negative
根本垃圾！這個主播,0.01,negative
隨便啦！這個遊戲,0.36,sarcastic
好用到哭！這個平台,0.91,positive
這個配送太誇張了吧,0.12,negative
超乎期待！這個社群,0.89,positive
這個主播還好啦,0.38,neutral
完全沒話說！這個配送,0.83,positive
這個直播馬馬虎虎,0.43,neutral
見仁見智吧！這個配送,0.38,neutral
這個服務根本是詐騙,0.17,negative
whatever啦,0.37,sarcastic
用了就愛上！這個配送,0.85,positive
好啦隨便你,0.24,sarcastic
還行啦！這個系統,0.51,neutral
看你要怎麼想！這家餐廳,0.66,neutral
超乎期待！這個遊戲,0.81,positive
這個社群有優點也有缺點,0.58,neutral
太專業了吧,0.28,sarcastic
還可以啦！這個遊戲,0.4,neutral
退錢啦！這個介面,0.17,negative
也就這樣！這個版本,0.63,neutral
沒錯就是這樣呢,0.23,sarcastic
這個系統真的超讚der,0.8,positive
這個課程有夠糟糕,0.08,negative
這個主播見仁見智吧,0.42,neutral
看你要怎麼想！這個社群,0.66,neutral
這個功能不推不推,0.16,negative
超級無敵讚！這款APP,0.93,positive
根本垃圾！這款手機,0.08,negative
爛透了！這個更新,0.15,negative
太誇張了吧！這個更新,0.12,negative
這個博主完全不推好吧,0.17,negative
這個老師好啦隨便你,0.19,sarcastic
見仁見智吧！這個客服,0.54,neutral
誰理你啊,0.28,sarcastic
這個直播超大雷,0.17,negative
爛透了！這家餐廳,0.06,negative
根本就是救星！這個老師,0.81,positive
這個直播根本垃圾,0.28,negative
這個老師完全沒話說,0.95,positive
超級雷包！這個客服,0.16,negative
好棒棒哦,0.31,sarcastic
這家餐廳根本是智障設計,0.2,negative
你最厲害了,0.22,sarcastic
這個老師看情況吧,0.34,neutral
我直接吹爆！這個功能,0.86,positive
真是特別呢,0.19,sarcastic
整個無敵神！這個博主,0.92,positive
看情況吧！這支影片,0.64,neutral
真是傑作啊,0.26,sarcastic
這個博主不推不推,0.28,negative
有夠糟糕！這家餐廳,0.1,negative
太強了吧！這個博主,0.8,positive
見仁見智吧！這個社群,0.38,neutral
太香了！這個商品,0.85,positive
這個外送超大雷,0.27,negative
whatever啦,0.19,sarcastic
那你很厲害哦,0.29,sarcastic
真的是浪費時間！這個功能,0.11,negative
還好啦！這家店,0.4,neutral
這個設計好用到哭,0.85,positive
不推不推！這個版本,0.22,negative
你最棒了啦,0.17,sarcastic
這家餐廳好用到哭,0.74,positive
我也是這樣覺得呢！這個更新,0.3,sarcastic
這個客服根本離不開了,0.86,positive
可不就是這樣,0.29,sarcastic
真的超讚der！這家餐廳,0.81,positive
這個老師完全看不出有什麼缺點,0.9,positive
爛透了啦！這款APP,0.04,negative
品質穩穩的！這個介面,0.72,positive
這個系統太香了,0.87,positive
凱子啦！這個客服,0.47,neutral
見仁見智吧！這個遊戲,0.4,neutral
一般般！這個博主,0.7,neutral
普普通通！這個外送,0.45,neutral
厲害了我的哥,0.12,sarcastic
這個遊戲有優點也有缺點,0.46,neutral
是是是你說得對！這個外送,0.16,sarcastic
根本垃圾！這個外送,0.25,negative
這個系統爛透了啦,0.01,negative
超乎期待！這個配送,0.91,positive
超乎期待！這個直播,0.97,positive
這款APP簡直是神器,0.71,positive
這個更新見仁見智吧,0.57,neutral
這個配送真的超讚der,0.78,positive
超級雷包！這個課程,0.14,negative
還好啦！這支影片,0.63,neutral
不推不推！這個設計,0.28,negative
這支影片有夠糟糕,0.05,negative
這個課程讚到爆炸,0.73,positive
太強了吧！這個商品,0.87,positive
哇塞厲害了,0.2,sarcastic
這個服務還行啦,0.5,neutral
一般般！這個遊戲,0.3,neutral
是是是你說得對,0.32,sarcastic
這個老師品質穩穩的,0.98,positive
這個老師超級雷包,0.26,negative
根本是智障設計！這個課程,0.16,negative
超大雷！這個平台,0.03,negative
見仁見智吧！這個外送,0.55,neutral
這款手機不算差但也不算好,0.32,neutral
這款手機好用到哭,0.83,positive
完全看不出有什麼缺點！這個外送,0.97,positive
這款手機完全不推好吧,0.0,negative
不算差但也不算好！這家店,0.66,neutral
完全看不出有什麼缺點！這個直播,0.96,positive
這個配送還行啦,0.61,neutral
這個平台超乎期待,0.82,positive
我覺得很ok呢,0.32,sarcastic
這個版本難用死了,0.2,negative
根本垃圾！這款手機,0.04,negative
根本是詐騙！這家餐廳,0.17,negative
太香了！這個老師,0.97,positive
這個商品用了就愛上,0.77,positive
