text,sentiment
真的是浪費時間！這個主播,0.14
誰理你啊,0.12
反正你最厲害,0.24
這個遊戲 我也是這樣覺得呢,0.18
用了就愛上！這個系統,0.71
完全看不出有什麼缺點！這個客服,0.82
這個課程有優點也有缺點,0.39
這個老師這什麼爛東西,0.15
不算差但也不算好，這個客服,0.41
隨便啦,0.32
這個平台太強了吧,0.7
看情況吧，這個系統,0.45
普普通通，這個平台,0.59
氣死人了！這個服務,0.19
這個更新根本就是救星,0.94
還算ok，這個系統,0.69
品質穩穩的！這家店,0.88
待觀察，這個功能,0.51
哇塞厲害了,0.32
有優點也有缺點，這個直播,0.49
品質穩穩的！這個老師,0.83
這個系統馬馬虎虎,0.37
還算ok，這個課程,0.47
這個商品完全看不出有什麼缺點,0.99
太強了吧！這個課程,0.84
好厲害喔,0.17
這個功能馬馬虎虎,0.49
完全看不出有什麼缺點！這個功能,0.98
你最厲害了,0.23
是是是你說得對,0.16
這款手機也就這樣,0.68
用了就愛上！這個功能,0.84
將就了，這個外送,0.45
這支影片太強了吧,0.9
一般般，這個課程,0.42
待觀察，這個博主,0.53
這個更新太強了吧,0.99
退錢啦！這個外送,0.07
真是特別呢,0.34
品質穩穩的！這個直播,0.82
真是太棒了呢,0.38
這款手機根本離不開了,0.8
那你很厲害哦,0.11
這個更新 好啦隨便你,0.35
這個客服將就了,0.51
你最棒了啦,0.2
這個系統整個無敵神,0.82
這個遊戲爛透了啦,0.11
這款手機退錢啦,0.1
這個客服 反正你最厲害,0.37
將就了，這個服務,0.58
退錢啦！這款APP,0.25
這個系統 你最棒了啦,0.19
這個服務 好棒棒哦,0.34
這個服務踩雷了啦,0.1
這個客服這也太扯了吧,0.0
這支影片可以考慮,0.38
根本是智障設計！這個博主,0.01
這個主播根本是詐騙,0.16
整個無敵神！這個平台,0.84
太專業了吧,0.29
真的很可以！這個遊戲,0.87
我也是這樣覺得呢,0.27
簡直是神器！這個平台,0.94
這個介面一般般,0.43
哇塞厲害了,0.23
爛透了！這個更新,0.18
這個老師 你最厲害了,0.16
湊合著用，這個設計,0.32
這個更新真的很可以,0.8
可以考慮，這個商品,0.49
這個老師太強了吧,0.77
這個服務太強了吧,0.8
這款APP推爆這個,0.78
這個直播 你最棒了啦,0.13
根本是詐騙！這個直播,0.29
這家店推爆這個,0.7
這個更新太香了,0.91
太專業了吧,0.33
這個博主 真是特別呢,0.3
待觀察，這個遊戲,0.53
這個客服爛透了啦,0.24
見仁見智吧，這支影片,0.52
沒錯就是這樣呢,0.31
真的是浪費時間！這個系統,0.2
那你很厲害哦,0.28
真的是浪費時間！這個主播,0.12
太強了吧！這個課程,0.97
這不行啊！這個直播,0.15
好厲害喔,0.3
這個客服用了就愛上,0.87
你最棒了啦,0.29
完全看不出有什麼缺點！這個外送,0.76
這個主播太強了吧,0.93
這個服務 真是傑作啊,0.32
這個遊戲真的是浪費時間,0.26
真的是浪費時間！這款APP,0.08
太專業了吧,0.11
這個設計有優點也有缺點,0.62
這個商品真的超讚der,0.84
這個介面 好棒棒哦,0.11
好棒棒哦,0.14
這個服務 哇塞厲害了,0.14
真的是浪費時間！這個介面,0.19
這款手機看情況吧,0.38
超級雷！這家店,0.03
太香了！這個設計,0.98
根本就是救星！這支影片,0.91
爛透了！這款手機,0.28
真的很可以！這家店,0.83
這支影片氣死人了,0.04
將就了，這個主播,0.64
這個客服不算差但也不算好,0.58
好棒棒哦,0.26
你最厲害了,0.16
這個外送普普通通,0.5
是是是你說得對,0.14
見仁見智吧，這個客服,0.32
這個設計見仁見智吧,0.48
好厲害喔,0.15
難用死了！這個功能,0.02
真的超讚der！這個更新,0.78
你最厲害了,0.27
這個商品根本是詐騙,0.22
這個更新馬馬虎虎,0.57
反正你最厲害,0.35
這個老師真的是浪費時間,0.15
這個真心推薦！這個服務,0.92
超級無敵讚！這個商品,0.75
這個直播還算ok,0.39
這個設計還可以啦,0.43
超級雷！這個功能,0.0
這個商品這不行啊,0.25
你最厲害了,0.3
馬馬虎虎，這個介面,0.39
有優點也有缺點，這個服務,0.36
哇塞厲害了,0.24
爛透了啦！這個外送,0.29
也就這樣，這個系統,0.65
用了就愛上！這個直播,0.77
根本是智障設計！這個課程,0.03
這個服務爛透了,0.17
這個老師推爆這個,0.74
