text,sentiment,type
太香了！這個介面,0.7,positive
這款手機氣死人了,0.14,negative
也就這樣！這個配送,0.7,neutral
將就了！這個系統,0.31,neutral
這個設計我也是這樣覺得呢,0.34,sarcastic
真的很可以！這個直播,0.82,positive
氣死人了！這個商品,0.27,negative
這不行啊！這個服務,0.25,negative
這個版本超級棒的啦,0.89,positive
好棒棒哦,0.32,sarcastic
這個遊戲完全沒話說,0.94,positive
還好啦！這家餐廳,0.43,neutral
這個老師看你要怎麼想,0.47,neutral
這個版本根本是詐騙,0.01,negative
就醬子吧！這家餐廳,0.12,sarcastic
我直接吹爆！這個設計,0.94,positive
這個介面見仁見智吧,0.45,neutral
隨便啦,0.19,sarcastic
誰理你啊,0.36,sarcastic
這款手機太強了吧,0.77,positive
爛透了！這個博主,0.06,negative
根本垃圾！這個設計,0.13,negative
湊合著用！這個老師,0.58,neutral
不算差但也不算好！這個介面,0.52,neutral
還可以啦！這個主播,0.36,neutral
這支影片真的很可以,0.94,positive
這個直播還算ok,0.62,neutral
氣死人了！這個遊戲,0.05,negative
我也是這樣覺得呢,0.29,sarcastic
這個外送這也太扯了吧,0.11,negative
這個配送推爆這個,0.94,positive
完全不推好吧！這個主播,0.04,negative
我也是這樣覺得呢,0.33,sarcastic
也就這樣！這款手機,0.41,neutral
我直接吹爆！這家店,0.96,positive
隨便啦,0.33,sarcastic
真是傑作啊,0.27,sarcastic
湊合著用！這款APP,0.47,neutral
這個介面還算ok,0.56,neutral
你最厲害了,0.13,sarcastic
也就這樣！這支影片,0.48,neutral
湊合著用！這個版本,0.39,neutral
反正你最厲害！這款APP,0.12,sarcastic
馬馬虎虎！這個客服,0.49,neutral
誰理你啊,0.25,sarcastic
好啦隨便你,0.19,sarcastic
這個系統完全不推好吧,0.07,negative
這家餐廳這不行啊,0.18,negative
這個設計馬馬虎虎,0.43,neutral
沒錯就是這樣呢,0.39,sarcastic
這款APP還算ok,0.46,neutral
簡直是神器！這支影片,0.92,positive
這家餐廳還行吧,0.59,neutral
這個社群爛透了,0.18,negative
這家餐廳也就這樣,0.33,neutral
這個系統品質穩穩的,0.89,positive
這個社群踩雷了啦,0.2,negative
這個課程還可以啦,0.5,neutral
太誇張了吧！這個博主,0.19,negative
你最棒了啦,0.39,sarcastic
這個系統太專業了吧,0.11,sarcastic
這個社群嗯哼,0.32,sarcastic
這個商品看情況吧,0.7,neutral
真的很可以！這支影片,0.84,positive
這個客服好厲害喔,0.14,sarcastic
太強了吧！這個課程,0.71,positive
這款手機真的超讚der,0.74,positive
這款手機完全沒話說,0.85,positive
這款APP超乎期待,0.88,positive
這個配送一般般,0.61,neutral
這個真心推薦！這個平台,0.88,positive
這也太扯了吧！這個更新,0.25,negative
真是太有水準了,0.33,sarcastic
這個功能看情況吧,0.64,neutral
這個版本超級雷包,0.01,negative
這個外送真的超讚der,0.97,positive
這個遊戲我直接吹爆,0.95,positive
真的超讚der！這個配送,0.94,positive
這也太扯了吧！這款手機,0.19,negative
氣死人了！這個外送,0.03,negative
這個更新根本垃圾,0.03,negative
這家店真的超讚der,0.96,positive
這個直播隨便啦,0.16,sarcastic
整個無敵神！這家餐廳,0.93,positive
還行啦！這個社群,0.52,neutral
這個遊戲踩雷了啦,0.29,negative
你最厲害了,0.11,sarcastic
這個版本推爆這個,0.91,positive
這個博主可以考慮,0.65,neutral
隨便啦,0.3,sarcastic
退錢啦！這個遊戲,0.29,negative
這款手機待觀察,0.56,neutral
這個老師不算差但也不算好,0.41,neutral
讚到爆炸！這個平台,0.96,positive
這個外送你最厲害了,0.15,sarcastic
真是傑作啊,0.25,sarcastic
這個主播凱子啦,0.55,neutral
誰理你啊,0.32,sarcastic
這個外送爛透了,0.16,negative
這個功能退錢啦,0.06,negative
超級棒的啦！這個老師,0.77,positive
超乎期待！這個更新,0.86,positive
嗯哼,0.22,sarcastic
根本是詐騙！這個主播,0.24,negative
這支影片一般般,0.64,neutral
是是是你說得對！這個主播,0.38,sarcastic
這個老師見仁見智吧,0.35,neutral
馬馬虎虎！這個介面,0.34,neutral
嗯哼！這個版本,0.21,sarcastic
還算ok！這個直播,0.69,neutral
這個課程也就這樣,0.6,neutral
真是特別呢,0.15,sarcastic
這個服務真的超讚der,0.87,positive
這個功能根本就是救星,0.8,positive
有優點也有缺點！這個客服,0.64,neutral
可不就是這樣,0.17,sarcastic
一般般！這個功能,0.52,neutral
這個客服簡直是神器,0.95,positive
太香了！這個服務,0.81,positive
反正你最厲害,0.16,sarcastic
好啦隨便你,0.19,sarcastic
凱子啦！這支影片,0.67,neutral
也就這樣！這個平台,0.58,neutral
超級棒的啦！這個配送,0.74,positive
完全不推好吧！這家餐廳,0.25,negative
好棒棒哦,0.13,sarcastic
這個直播完全不推好吧,0.15,negative
太專業了吧,0.35,sarcastic
這個設計我覺得很ok呢,0.37,sarcastic
整個無敵神！這家店,0.82,positive
這個外送看情況吧,0.56,neutral
這個博主whatever啦,0.15,sarcastic
這家店氣死人了,0.17,negative
這個配送不算差但也不算好,0.58,neutral
推爆這個！這個功能,0.78,positive
你最棒了啦,0.28,sarcastic
超大雷！這個博主,0.0,negative
讚到爆炸！這個主播,0.79,positive
退錢啦！這個配送,0.1,negative
還好啦！這個平台,0.35,neutral
這個博主好啦隨便你,0.23,sarcastic
湊合著用！這家店,0.6,neutral
這個博主看情況吧,0.36,neutral
好啦隨便你！這個遊戲,0.11,sarcastic
還行吧！這家店,0.49,neutral
有優點也有缺點！這個版本,0.64,neutral
這個設計完全看不出有什麼缺點,0.79,positive
是是是你說得對,0.14,sarcastic
厲害了我的哥,0.28,sarcastic
這也太扯了吧！這個設計,0.04,negative
好厲害喔,0.2,sarcastic
這家餐廳誰理你啊,0.39,sarcastic
這個設計普普通通,0.38,neutral
這個直播這不行啊,0.25,negative
還算ok！這個外送,0.35,neutral
這個設計有優點也有缺點,0.57,neutral
這也太扯了吧！這家店,0.22,negative
這個版本還可以啦,0.38,neutral
這個博主一般般,0.69,neutral
根本就是救星！這個課程,0.83,positive
可不就是這樣,0.21,sarcastic
好啦隨便你,0.14,sarcastic
好啦隨便你！這個設計,0.21,sarcastic
這個服務完全沒話說,0.98,positive
還可以啦！這個服務,0.47,neutral
這款手機根本就是救星,0.83,positive
高手高手,0.33,sarcastic
這個功能整個無敵神,0.92,positive
這個真心推薦！這個博主,0.97,positive
我覺得很ok呢！這個介面,0.17,sarcastic
好用到哭！這家店,0.97,positive
這個博主根本是詐騙,0.0,negative
這個配送還好啦,0.43,neutral
這個更新好用到哭,0.86,positive
這個客服好棒棒哦,0.13,sarcastic
真是太有水準了,0.38,sarcastic
是是是你說得對,0.18,sarcastic
反正你最厲害,0.11,sarcastic
那你很厲害哦,0.31,sarcastic
看你要怎麼想！這個平台,0.56,neutral
這個服務有夠糟糕,0.28,negative
隨便啦,0.13,sarcastic
還好啦！這個主播,0.62,neutral
超級無敵讚！這個設計,0.82,positive
退錢啦！這個配送,0.06,negative
還算ok！這家餐廳,0.48,neutral
這個版本根本是智障設計,0.29,negative
完全不推好吧！這個外送,0.03,negative
有優點也有缺點！這個服務,0.4,neutral
這個課程真的超讚der,0.96,positive
這個直播超乎期待,0.93,positive
我覺得很ok呢,0.36,sarcastic
這個更新還可以啦,0.35,neutral
這個真心推薦！這家店,0.76,positive
待觀察！這個商品,0.33,neutral
普通啦！這款APP,0.59,neutral
好厲害喔,0.28,sarcastic
這家店完全不推好吧,0.07,negative
看你要怎麼想！這個服務,0.68,neutral
好啦隨便你！這個課程,0.35,sarcastic
這個客服超大雷,0.15,negative
用了就愛上！這個課程,0.76,positive
超級無敵讚！這個服務,0.99,positive
根本就是救星！這個平台,0.96,positive
用了就愛上！這個平台,0.86,positive
沒錯就是這樣呢,0.34,sarcastic
這個博主高手高手,0.19,sarcastic
這支影片太強了吧,1.0,positive
whatever啦,0.28,sarcastic
讚到爆炸！這款APP,0.99,positive
太香了！這個遊戲,0.84,positive
這個主播根本離不開了,0.89,positive
這個版本超大雷,0.12,negative
太誇張了吧！這個直播,0.04,negative
這個外送爛透了啦,0.28,negative
太誇張了吧！這家店,0.16,negative
這個主播太香了,0.77,positive
嗯哼,0.28,sarcastic
whatever啦,0.14,sarcastic
這個外送湊合著用,0.35,neutral
這個客服待觀察,0.5,neutral
這個老師好用到哭,0.72,positive
真是太棒了呢,0.26,sarcastic
這個直播普通啦,0.61,neutral
這個設計用了就愛上,0.74,positive
這支影片湊合著用,0.5,neutral
好棒棒哦,0.36,sarcastic
這個直播超級無敵讚,0.87,positive
真的超讚der！這支影片,0.88,positive
這款APP待觀察,0.44,neutral
完全不推好吧！這個平台,0.08,negative
好棒棒哦！這個客服,0.2,sarcastic
這個主播這不行啊,0.1,negative
爛透了啦！這個遊戲,0.03,negative
好厲害喔,0.25,sarcastic
超級無敵讚！這個社群,0.73,positive
根本垃圾！這個博主,0.18,negative
這個遊戲湊合著用,0.49,neutral
這不行啊！這個客服,0.16,negative
我也是這樣覺得呢,0.22,sarcastic
這個客服根本是詐騙,0.08,negative
這個老師不算差但也不算好,0.49,neutral
好棒棒哦,0.29,sarcastic
這個平台氣死人了,0.11,negative
這個功能這什麼爛東西,0.13,negative
你最棒了啦,0.23,sarcastic
這個服務根本垃圾,0.19,negative
這個平台完全不推好吧,0.17,negative
真是太有水準了,0.35,sarcastic
太香了！這個平台,0.93,positive
這家店也就這樣,0.68,neutral
這個配送真的是浪費時間,0.05,negative
超級棒的啦！這個配送,0.9,positive
這個設計整個無敵神,0.73,positive
普通啦！這個主播,0.46,neutral
這個版本踩雷了啦,0.03,negative
你最棒了啦！這個配送,0.21,sarcastic
這個博主真的是浪費時間,0.24,negative
這個功能爛透了,0.19,negative
好厲害喔,0.11,sarcastic
這個博主待觀察,0.57,neutral
這個真心推薦！這支影片,0.76,positive
凱子啦！這個主播,0.67,neutral
根本垃圾！這個介面,0.26,negative
沒錯就是這樣呢,0.23,sarcastic
這個客服whatever啦,0.33,sarcastic
這個更新簡直是神器,0.86,positive
哇塞厲害了！這個功能,0.31,sarcastic
這個平台讚到爆炸,0.82,positive
超級雷！這款APP,0.16,negative
品質穩穩的！這款手機,0.97,positive
嗯哼,0.25,sarcastic
這個介面這什麼爛東西,0.21,negative
這個課程爛透了,0.28,negative
你最厲害了,0.18,sarcastic
這款手機還好啦,0.37,neutral
隨便啦！這個課程,0.31,sarcastic
這個平台不推不推,0.13,negative
這款APP湊合著用,0.36,neutral
這個老師超乎期待,0.76,positive
太強了吧！這個外送,0.76,positive
還好啦！這支影片,0.58,neutral
用了就愛上！這款手機,0.91,positive
真是傑作啊,0.38,sarcastic
根本垃圾！這個更新,0.04,negative
用了就愛上！這家餐廳,0.95,positive
這個系統不推不推,0.01,negative
爛透了！這家店,0.11,negative
根本是詐騙！這個商品,0.06,negative
這個服務我也是這樣覺得呢,0.36,sarcastic
這個配送完全沒話說,0.78,positive
這個系統見仁見智吧,0.3,neutral
這個客服這什麼爛東西,0.21,negative
真是太有水準了！這支影片,0.17,sarcastic
就醬子吧,0.11,sarcastic
完全看不出有什麼缺點！這個設計,0.84,positive
爛透了！這個配送,0.24,negative
這個遊戲完全看不出有什麼缺點,0.9,positive
一般般！這個設計,0.42,neutral
超級雷包！這個遊戲,0.3,negative
太誇張了吧！這個老師,0.06,negative
不算差但也不算好！這家餐廳,0.46,neutral
這支影片普普通通,0.39,neutral
這個系統品質穩穩的,0.8,positive
這個服務太誇張了吧,0.08,negative
這個商品超乎期待,0.72,positive
這家店還行吧,0.69,neutral
這家餐廳我直接吹爆,0.96,positive
這個商品不算差但也不算好,0.56,neutral
太強了吧！這個直播,0.8,positive
氣死人了！這個配送,0.13,negative
這款APP太誇張了吧,0.25,negative
這支影片那你很厲害哦,0.26,sarcastic
這個系統看情況吧,0.3,neutral
湊合著用！這個主播,0.33,neutral
這個商品根本離不開了,0.84,positive
這不行啊！這個直播,0.16,negative
超級雷包！這個介面,0.24,negative
這個遊戲這個真心推薦,0.75,positive
這個功能超乎期待,0.7,positive
高手高手,0.22,sarcastic
根本是詐騙！這個老師,0.28,negative
待觀察！這個老師,0.46,neutral
可不就是這樣！這個社群,0.26,sarcastic
whatever啦,0.4,sarcastic
根本是詐騙！這個平台,0.21,negative
這個更新普普通通,0.4,neutral
完全沒話說！這家店,0.92,positive
真是特別呢,0.24,sarcastic
隨便啦,0.32,sarcastic
踩雷了啦！這個客服,0.29,negative
