text,sentiment,type
根本就是救星！這個設計,0.79,positive
完全不推好吧！這個社群,0.11,negative
太專業了吧,0.34,sarcastic
這個主播看情況吧,0.47,neutral
這個設計真的很可以,0.71,positive
看情況吧！這個博主,0.48,neutral
這個功能這不行啊,0.05,negative
可以考慮！這個課程,0.32,neutral
這款手機可以考慮,0.31,neutral
完全不推好吧！這個介面,0.21,negative
這個博主太誇張了吧,0.04,negative
好厲害喔,0.23,sarcastic
這個介面凱子啦,0.38,neutral
這個配送還行啦,0.43,neutral
完全不推好吧！這個功能,0.13,negative
你最棒了啦！這家店,0.21,sarcastic
好厲害喔,0.39,sarcastic
whatever啦,0.39,sarcastic
這個社群好用到哭,0.95,positive
這個外送超大雷,0.13,negative
看你要怎麼想！這個功能,0.35,neutral
這個版本超級雷包,0.21,negative
還好啦！這個系統,0.6,neutral
這個客服有優點也有缺點,0.51,neutral
可不就是這樣！這個配送,0.19,sarcastic
這個配送看你要怎麼想,0.3,neutral
這個主播也就這樣,0.58,neutral
這個老師這個真心推薦,0.88,positive
太專業了吧,0.26,sarcastic
太專業了吧,0.17,sarcastic
誰理你啊,0.27,sarcastic
這個遊戲還算ok,0.6,neutral
這個功能也就這樣,0.48,neutral
太香了！這家店,0.91,positive
你最棒了啦,0.36,sarcastic
根本是智障設計！這個版本,0.19,negative
馬馬虎虎！這個介面,0.65,neutral
完全不推好吧！這個直播,0.01,negative
還行吧！這個直播,0.4,neutral
氣死人了！這支影片,0.3,negative
這家餐廳根本是智障設計,0.07,negative
踩雷了啦！這個老師,0.25,negative
推爆這個！這個配送,0.8,positive
好啦隨便你,0.19,sarcastic
太專業了吧,0.29,sarcastic
這款手機退錢啦,0.24,negative
超級棒的啦！這個社群,0.73,positive
這個主播還行吧,0.35,neutral
這個客服這什麼爛東西,0.14,negative
超級棒的啦！這個商品,0.76,positive
這個服務還好啦,0.57,neutral
這個配送簡直是神器,0.77,positive
這個功能推爆這個,0.84,positive
這個老師這什麼爛東西,0.03,negative
超級棒的啦！這個外送,0.74,positive
完全不推好吧！這個設計,0.2,negative
這個博主好棒棒哦,0.29,sarcastic
爛透了！這個外送,0.01,negative
這不行啊！這個更新,0.3,negative
這也太扯了吧！這個直播,0.24,negative
超級無敵讚！這個客服,0.74,positive
這個平台完全看不出有什麼缺點,0.78,positive
見仁見智吧！這家餐廳,0.37,neutral
這個配送超乎期待,0.98,positive
真的超讚der！這個服務,0.72,positive
whatever啦,0.37,sarcastic
誰理你啊,0.32,sarcastic
這個服務根本離不開了,0.96,positive
超大雷！這個系統,0.16,negative
這個遊戲太誇張了吧,0.22,negative
完全沒話說！這款APP,0.74,positive
這個客服就醬子吧,0.21,sarcastic
誰理你啊,0.19,sarcastic
這個主播看情況吧,0.35,neutral
這款手機不算差但也不算好,0.34,neutral
這個商品完全不推好吧,0.03,negative
太誇張了吧！這個博主,0.08,negative
我覺得很ok呢,0.21,sarcastic
這也太扯了吧！這個商品,0.29,negative
根本是詐騙！這個平台,0.0,negative
可不就是這樣,0.32,sarcastic
這個更新爛透了,0.29,negative
這個配送不算差但也不算好,0.66,neutral
這支影片超級棒的啦,0.98,positive
這個客服也就這樣,0.39,neutral
這個真心推薦！這家餐廳,0.93,positive
這家餐廳普普通通,0.67,neutral
這個版本我覺得很ok呢,0.28,sarcastic
嗯哼,0.25,sarcastic
還行啦！這個直播,0.55,neutral
這個博主將就了,0.46,neutral
那你很厲害哦,0.23,sarcastic
這個配送用了就愛上,0.96,positive
好棒棒哦,0.37,sarcastic
這個客服太香了,0.92,positive
用了就愛上！這家店,0.75,positive
超級棒的啦！這個博主,0.96,positive
哇塞厲害了,0.16,sarcastic
有夠糟糕！這個課程,0.17,negative
這個系統根本離不開了,0.82,positive
太專業了吧,0.18,sarcastic
可不就是這樣,0.15,sarcastic
好棒棒哦,0.32,sarcastic
這款手機厲害了我的哥,0.27,sarcastic
這個社群有夠糟糕,0.08,negative
這支影片還行啦,0.42,neutral
這個博主退錢啦,0.19,negative
這家餐廳超級雷包,0.23,negative
這個服務太強了吧,0.86,positive
這個直播馬馬虎虎,0.64,neutral
這家店氣死人了,0.28,negative
這個課程待觀察,0.44,neutral
這個服務超級棒的啦,0.76,positive
完全不推好吧！這支影片,0.01,negative
超大雷！這款APP,0.29,negative
這個遊戲好用到哭,0.84,positive
哇塞厲害了,0.37,sarcastic
這款手機爛透了,0.27,negative
誰理你啊！這個老師,0.18,sarcastic
你最厲害了,0.28,sarcastic
這支影片將就了,0.55,neutral
這款APP看情況吧,0.57,neutral
普通啦！這個功能,0.41,neutral
我也是這樣覺得呢,0.3,sarcastic
可不就是這樣,0.31,sarcastic
這個系統根本就是救星,0.95,positive
這家餐廳誰理你啊,0.36,sarcastic
隨便啦,0.23,sarcastic
這個平台還好啦,0.43,neutral
這個平台馬馬虎虎,0.33,neutral
這個博主也就這樣,0.67,neutral
這個配送簡直是神器,0.93,positive
這支影片這什麼爛東西,0.11,negative
超級棒的啦！這個系統,1.0,positive
這家餐廳嗯哼,0.26,sarcastic
好啦隨便你,0.16,sarcastic
