text,sentiment,type
這個設計真的超讚der,0.76,positive
這個主播整個無敵神,0.81,positive
這家餐廳真是太棒了呢,0.26,sarcastic
這個社群爛透了,0.0,negative
爛透了！這個服務,0.19,negative
這個系統太誇張了吧,0.25,negative
好用到哭！這個功能,0.91,positive
有夠糟糕！這個主播,0.27,negative
超大雷！這款手機,0.04,negative
誰理你啊,0.32,sarcastic
看情況吧！這個介面,0.38,neutral
這款APP根本就是救星,0.98,positive
反正你最厲害,0.16,sarcastic
我直接吹爆！這個介面,0.95,positive
這個設計普普通通,0.59,neutral
完全看不出有什麼缺點！這個外送,0.78,positive
這個社群超級雷,0.12,negative
這個主播普通啦,0.61,neutral
這個社群踩雷了啦,0.28,negative
爛透了啦！這個課程,0.25,negative
這個系統有優點也有缺點,0.42,neutral
這個直播超級雷包,0.09,negative
這個商品根本就是救星,0.73,positive
這個系統這也太扯了吧,0.14,negative
真是特別呢,0.3,sarcastic
真是太有水準了,0.34,sarcastic
這個設計whatever啦,0.32,sarcastic
這個博主可以考慮,0.53,neutral
這個商品退錢啦,0.1,negative
這個配送好厲害喔,0.15,sarcastic
這個課程簡直是神器,0.71,positive
這個客服真的很可以,0.9,positive
這個功能好用到哭,0.85,positive
這什麼爛東西！這款手機,0.06,negative
這個遊戲這也太扯了吧,0.1,negative
這個商品這什麼爛東西,0.14,negative
這支影片讚到爆炸,0.98,positive
是是是你說得對,0.38,sarcastic
推爆這個！這款手機,0.96,positive
將就了！這個系統,0.43,neutral
真是太有水準了,0.28,sarcastic
簡直是神器！這個系統,0.94,positive
這支影片真是太棒了呢,0.32,sarcastic
這個功能根本垃圾,0.12,negative
還可以啦！這個外送,0.32,neutral
有優點也有缺點！這個遊戲,0.47,neutral
這個客服用了就愛上,0.91,positive
這個直播根本就是救星,1.0,positive
看情況吧！這個介面,0.49,neutral
這個客服推爆這個,0.8,positive
難用死了！這支影片,0.12,negative
這款手機就醬子吧,0.34,sarcastic
這個商品品質穩穩的,0.84,positive
真的是浪費時間！這個服務,0.16,negative
真是太棒了呢,0.21,sarcastic
這個博主看你要怎麼想,0.46,neutral
我直接吹爆！這個配送,0.71,positive
這個功能我直接吹爆,0.79,positive
這個配送嗯哼,0.11,sarcastic
whatever啦,0.29,sarcastic
看情況吧！這個主播,0.35,neutral
這個主播還行啦,0.56,neutral
真是特別呢,0.3,sarcastic
這個主播也就這樣,0.35,neutral
這個博主根本垃圾,0.25,negative
這個直播真是太棒了呢,0.16,sarcastic
這個版本整個無敵神,0.77,positive
哇塞厲害了,0.39,sarcastic
這個老師還好啦,0.31,neutral
好厲害喔,0.23,sarcastic
爛透了！這支影片,0.25,negative
這個介面我直接吹爆,0.89,positive
這支影片太香了,0.89,positive
看你要怎麼想！這個博主,0.54,neutral
這個課程真的很可以,0.98,positive
誰理你啊,0.18,sarcastic
這個平台超級無敵讚,0.81,positive
這個介面你最厲害了,0.38,sarcastic
這個博主好棒棒哦,0.27,sarcastic
這個博主待觀察,0.34,neutral
這個系統這不行啊,0.03,negative
這家餐廳太香了,0.82,positive
好厲害喔,0.19,sarcastic
好啦隨便你,0.16,sarcastic
這個老師太香了,0.91,positive
這個老師超級雷包,0.29,negative
這個平台看情況吧,0.67,neutral
普普通通！這個配送,0.4,neutral
這個主播真的很可以,0.93,positive
這個服務品質穩穩的,0.73,positive
真是太有水準了！這個商品,0.36,sarcastic
哇塞厲害了,0.29,sarcastic
這家店還算ok,0.44,neutral
完全不推好吧！這個版本,0.22,negative
普通啦！這個平台,0.43,neutral
這個平台哇塞厲害了,0.19,sarcastic
這個博主見仁見智吧,0.58,neutral
還行吧！這個平台,0.54,neutral
這家店超級雷,0.18,negative
這款APP真的很可以,0.87,positive
湊合著用！這家餐廳,0.68,neutral
隨便啦,0.13,sarcastic
推爆這個！這個平台,0.82,positive
真是太有水準了,0.16,sarcastic
踩雷了啦！這款APP,0.23,negative
可不就是這樣,0.38,sarcastic
品質穩穩的！這款手機,0.92,positive
這個遊戲這也太扯了吧,0.02,negative
太專業了吧！這個更新,0.16,sarcastic
完全看不出有什麼缺點！這款手機,0.95,positive
這個商品待觀察,0.58,neutral
這個課程根本離不開了,0.77,positive
這支影片根本是詐騙,0.18,negative
超級棒的啦！這個客服,0.72,positive
看情況吧！這個服務,0.63,neutral
好啦隨便你,0.33,sarcastic
這個介面有夠糟糕,0.17,negative
這家餐廳完全看不出有什麼缺點,0.93,positive
真是太有水準了,0.23,sarcastic
看你要怎麼想！這個主播,0.46,neutral
這個遊戲這個真心推薦,0.91,positive
這家餐廳太強了吧,0.75,positive
這個遊戲普普通通,0.59,neutral
是是是你說得對,0.28,sarcastic
這個外送就醬子吧,0.14,sarcastic
待觀察！這個系統,0.32,neutral
還可以啦！這個老師,0.41,neutral
根本離不開了！這個客服,0.73,positive
這個課程超級棒的啦,0.99,positive
這家店普普通通,0.54,neutral
這個直播太誇張了吧,0.02,negative
真是傑作啊,0.18,sarcastic
這款APP看情況吧,0.41,neutral
這個直播看情況吧,0.36,neutral
這個系統踩雷了啦,0.07,negative
這個功能還算ok,0.54,neutral
這個更新哇塞厲害了,0.15,sarcastic
哇塞厲害了,0.2,sarcastic
普通啦！這款手機,0.34,neutral
超乎期待！這個介面,0.79,positive
這支影片還行啦,0.52,neutral
這個真心推薦！這個博主,0.89,positive
這個功能根本是詐騙,0.15,negative
這個系統沒錯就是這樣呢,0.12,sarcastic
讚到爆炸！這個服務,0.77,positive
這家店超大雷,0.17,negative
爛透了啦！這個社群,0.1,negative
這個介面品質穩穩的,0.75,positive
這個版本整個無敵神,0.84,positive
我也是這樣覺得呢,0.34,sarcastic
根本垃圾！這個配送,0.1,negative
超乎期待！這個設計,0.86,positive
還算ok！這個博主,0.56,neutral
根本是詐騙！這家店,0.09,negative
這個博主氣死人了,0.19,negative
這個社群不算差但也不算好,0.69,neutral
這個外送是是是你說得對,0.11,sarcastic
馬馬虎虎！這個遊戲,0.33,neutral
不算差但也不算好！這個配送,0.31,neutral
難用死了！這個平台,0.19,negative
真是特別呢,0.14,sarcastic
根本是詐騙！這個平台,0.15,negative
沒錯就是這樣呢,0.16,sarcastic
真是太有水準了,0.29,sarcastic
這個真心推薦！這個配送,0.8,positive
這個商品完全看不出有什麼缺點,0.99,positive
這家餐廳我也是這樣覺得呢,0.17,sarcastic
讚到爆炸！這個功能,0.98,positive
高手高手,0.38,sarcastic
這個設計這什麼爛東西,0.01,negative
待觀察！這個服務,0.66,neutral
這個外送超級無敵讚,0.73,positive
高手高手,0.27,sarcastic
這個主播有優點也有缺點,0.68,neutral
好棒棒哦,0.18,sarcastic
超大雷！這支影片,0.11,negative
這個商品看情況吧,0.42,neutral
這個平台超級雷包,0.23,negative
這個課程整個無敵神,0.71,positive
高手高手,0.11,sarcastic
這個社群這也太扯了吧,0.13,negative
這家餐廳簡直是神器,0.93,positive
這個系統根本就是救星,0.94,positive
你最厲害了,0.25,sarcastic
退錢啦！這家餐廳,0.08,negative
這個社群看你要怎麼想,0.42,neutral
好用到哭！這個直播,0.76,positive
真是特別呢,0.35,sarcastic
可不就是這樣,0.27,sarcastic
這個直播完全看不出有什麼缺點,0.84,positive
這個版本還行吧,0.43,neutral
就醬子吧,0.39,sarcastic
這個服務退錢啦,0.28,negative
這個外送難用死了,0.24,negative
反正你最厲害,0.39,sarcastic
哇塞厲害了,0.29,sarcastic
品質穩穩的！這款APP,0.92,positive
難用死了！這款APP,0.14,negative
是是是你說得對,0.12,sarcastic
這支影片湊合著用,0.43,neutral
推爆這個！這家店,0.83,positive
超級棒的啦！這個客服,0.96,positive
這個版本太誇張了吧,0.23,negative
看情況吧！這個版本,0.52,neutral
這個課程難用死了,0.25,negative
這個直播還可以啦,0.56,neutral
看你要怎麼想！這款手機,0.66,neutral
太強了吧！這個老師,0.76,positive
whatever啦,0.24,sarcastic
看情況吧！這款APP,0.61,neutral
完全沒話說！這個老師,0.71,positive
好啦隨便你,0.14,sarcastic
也就這樣！這個版本,0.4,neutral
這個服務退錢啦,0.25,negative
根本垃圾！這個外送,0.03,negative
難用死了！這個直播,0.05,negative
根本是智障設計！這個功能,0.18,negative
好啦隨便你！這個介面,0.29,sarcastic
這個更新也就這樣,0.54,neutral
還行吧！這支影片,0.62,neutral
太香了！這個社群,0.88,positive
超級無敵讚！這個博主,0.73,positive
這個平台可以考慮,0.55,neutral
這個真心推薦！這個平台,0.75,positive
超大雷！這個配送,0.13,negative
這個課程湊合著用,0.46,neutral
這個介面就醬子吧,0.28,sarcastic
真是傑作啊,0.37,sarcastic
這家店超大雷,0.18,negative
有夠糟糕！這個商品,0.1,negative
這個客服根本是詐騙,0.05,negative
這個遊戲湊合著用,0.46,neutral
這個設計太專業了吧,0.13,sarcastic
超級無敵讚！這個功能,0.75,positive
whatever啦,0.37,sarcastic
超級棒的啦！這個客服,0.89,positive
這個版本可不就是這樣,0.34,sarcastic
還算ok！這個外送,0.61,neutral
這個平台那你很厲害哦,0.11,sarcastic
這家餐廳真是太棒了呢,0.18,sarcastic
這個外送完全沒話說,0.89,positive
還行吧！這個博主,0.39,neutral
馬馬虎虎！這個平台,0.7,neutral
這個系統根本是詐騙,0.13,negative
這個客服好啦隨便你,0.18,sarcastic
誰理你啊,0.38,sarcastic
這個版本太強了吧,0.84,positive
這個客服超級無敵讚,0.77,positive
這個外送普通啦,0.36,neutral
這個版本超級無敵讚,0.9,positive
真的很可以！這個課程,0.98,positive
這個老師超級無敵讚,0.93,positive
也就這樣！這個課程,0.57,neutral
我直接吹爆！這個老師,0.87,positive
這不行啊！這個平台,0.18,negative
那你很厲害哦,0.24,sarcastic
超級雷包！這個主播,0.04,negative
真是太棒了呢！這個功能,0.27,sarcastic
這個設計真的很可以,0.96,positive
品質穩穩的！這個老師,0.89,positive
這個系統氣死人了,0.2,negative
這個外送完全不推好吧,0.13,negative
我覺得很ok呢,0.22,sarcastic
這個版本我覺得很ok呢,0.29,sarcastic
高手高手,0.25,sarcastic
根本就是救星！這個介面,0.97,positive
這個版本真的是浪費時間,0.1,negative
這支影片待觀察,0.37,neutral
還行啦！這個版本,0.41,neutral
這個老師超級雷,0.25,negative
這支影片見仁見智吧,0.69,neutral
完全不推好吧！這家店,0.06,negative
這支影片這不行啊,0.24,negative
這個設計不算差但也不算好,0.62,neutral
根本是智障設計！這個客服,0.12,negative
這個老師這也太扯了吧,0.22,negative
看你要怎麼想！這個設計,0.51,neutral
高手高手,0.27,sarcastic
我覺得很ok呢,0.13,sarcastic
這支影片見仁見智吧,0.35,neutral
這個老師不推不推,0.21,negative
真的很可以！這個功能,0.77,positive
根本垃圾！這個商品,0.05,negative
踩雷了啦！這家餐廳,0.08,negative
根本是智障設計！這個社群,0.25,negative
不推不推！這個系統,0.28,negative
這款APP我也是這樣覺得呢,0.13,sarcastic
不算差但也不算好！這款手機,0.55,neutral
厲害了我的哥,0.21,sarcastic
好啦隨便你,0.17,sarcastic
真是傑作啊,0.11,sarcastic
有優點也有缺點！這個主播,0.63,neutral
反正你最厲害,0.25,sarcastic
誰理你啊,0.4,sarcastic
這個直播完全不推好吧,0.05,negative
這個版本見仁見智吧,0.54,neutral
這個課程根本離不開了,0.74,positive
隨便啦,0.27,sarcastic
超級雷！這家店,0.09,negative
真的是浪費時間！這個介面,0.11,negative
踩雷了啦！這款手機,0.21,negative
這個直播完全沒話說,0.97,positive
這個社群見仁見智吧,0.35,neutral
這個配送有夠糟糕,0.24,negative
這個功能看你要怎麼想,0.54,neutral
完全看不出有什麼缺點！這個配送,0.99,positive
這什麼爛東西！這個課程,0.15,negative
這家店超級雷包,0.28,negative
哇塞厲害了,0.17,sarcastic
品質穩穩的！這家店,0.92,positive
這個遊戲退錢啦,0.14,negative
超級無敵讚！這個遊戲,0.8,positive
根本是詐騙！這個更新,0.03,negative
你最棒了啦,0.29,sarcastic
超級無敵讚！這個直播,0.92,positive
這個版本超級無敵讚,0.82,positive
這家餐廳一般般,0.38,neutral
用了就愛上！這個更新,0.81,positive
好啦隨便你,0.29,sarcastic
不算差但也不算好！這個老師,0.52,neutral
這個介面那你很厲害哦,0.18,sarcastic
看你要怎麼想！這個社群,0.58,neutral
這不行啊！這個設計,0.1,negative
這個外送還可以啦,0.64,neutral
根本離不開了！這個老師,0.99,positive
這家餐廳退錢啦,0.01,negative
這支影片還行吧,0.67,neutral
這個平台我直接吹爆,0.76,positive
這個課程爛透了,0.28,negative
這個商品也就這樣,0.64,neutral
這個更新還算ok,0.38,neutral
見仁見智吧！這個更新,0.4,neutral
你最厲害了,0.19,sarcastic
這款手機超乎期待,0.91,positive
這個版本踩雷了啦,0.21,negative
有優點也有缺點！這個介面,0.39,neutral
根本離不開了！這個設計,0.9,positive
這個老師完全不推好吧,0.01,negative
